일자,도로명,위치,지점,시간,mean
2021-08-04,충현로,153자동차정비소 앞,조치원교 ~ 조치원지하차도앞,점유율,4.4159
2021-08-04,평기길,장군면 평기리,송학사거리 ~ 송문리,점유율,1.5425
2021-08-04,한누리대로,국세청맞은편,한누리대로지하4남측 ~ 한누리대로지하5북측,점유율,4.5608
2021-08-04,한누리대로,라온프라이빗시티앞,한누리대로고가2남측 ~ 노드_146,점유율,5.3748
2021-08-04,한누리대로,반곡동(공주),4-1생활권(한누리대로) ~ 반곡동(한누리대로),점유율,2.4307
2021-08-04,한누리대로,세종 교육청(공주),교육청앞 ~ 여울초교앞,점유율,5.2079
2021-08-04,한누리대로,양지초교북측(세종),한누리대로고가2북측 ~ 양지초교사거리,점유율,4.988
2021-08-05,갈매로,기쁨뜰공원(청사),금사교고가차도동편 ~ 갈매로교차로1,점유율,2.8118
2021-08-05,갈매로,제3주차장(서측),노드_069 ~ 노드_070,점유율,2.5422
2021-08-05,당산로,연서면 봉암리,월암교남측 ~ 연서치안센터,점유율,3.3376
2021-08-05,산학리길,장군면 산학리,- ~ 송악교,점유율,2.2512
2021-08-05,새내로,서울외과 앞,마음그린한의원 ~ 새내4길시점,점유율,5.112
2021-08-05,새내로,조치원여중 앞,조치원여자중학교 ~ 조치원읍사무소,점유율,4.0642
2021-08-05,시목부강로,시목교교차로 앞,- ~ 시목교(북측),점유율,3.263
2021-08-05,시청대로,세종 시청(공주),시청입구 ~ 교육청후문,점유율,2.4489
2021-08-05,연청로,문곡리 세종방면,문곡교차로 ~ 부강터널,점유율,4.2349
2021-08-05,용연로,연서면 와촌리,세종-공주경계 ~ 와룡로입구,점유율,4.7091
2021-08-05,일반국도1호선,산동교차로 대전방면,세종로교차로1 ~ 두만2리교차로2,점유율,3.5379
2021-08-05,일반국도36호선,다름고개(세종),다정동 ~ 올망초등학교,점유율,5.6346
2021-08-05,정안세종로,은하수공원(세종),수산IC교 북서 ~ 모개고가차도,점유율,1.7636
2021-08-05,조치원로,공영버스터미널 앞,조치원로1 ~ 상리사거리,점유율,6.6062
2021-08-05,지방도604호선,연동면 송용리 세종방면,예양교차로남측 ~ 문주1교북측,점유율,4.2466
2021-08-05,지방도96호선,갈매로(대전),장남교차로 ~ 금남교앞,점유율,3.7538
2021-08-05,지방도96호선,부강교차로 세종방면,부강교차로2 ~ 부강교차로1,점유율,3.2982
2021-08-05,지방도96호선,세종이마트(공주),e마트남측교차로 ~ -,점유율,3.3234
2021-08-05,지방도96호선,장군면 금암리,송암교 ~ -,점유율,1.428
2021-08-05,청연로,우리한식뷔페 앞,연동중학교입구 ~ 응암삼거리,점유율,3.1856
2021-08-05,충현로,153자동차정비소 앞,조치원교 ~ 조치원지하차도앞,점유율,4.2954
2021-08-05,평기길,장군면 평기리,송학사거리 ~ 송문리,점유율,2.0918
2021-08-05,한누리대로,국세청맞은편,한누리대로지하4남측 ~ 한누리대로지하5북측,점유율,7.5052
2021-08-05,한누리대로,라온프라이빗시티앞,한누리대로고가2남측 ~ 노드_146,점유율,6.2085
2021-08-05,한누리대로,반곡동(공주),4-1생활권(한누리대로) ~ 반곡동(한누리대로),점유율,3.0208
2021-08-05,한누리대로,세종 교육청(공주),교육청앞 ~ 여울초교앞,점유율,2.9217
2021-08-05,한누리대로,양지초교북측(세종),한누리대로고가2북측 ~ 양지초교사거리,점유율,3.6016
2021-08-06,갈매로,기쁨뜰공원(청사),금사교고가차도동편 ~ 갈매로교차로1,점유율,2.0792
2021-08-06,갈매로,제3주차장(서측),노드_069 ~ 노드_070,점유율,3.404
2021-08-06,당산로,연서면 봉암리,월암교남측 ~ 연서치안센터,점유율,3.7596
2021-08-06,산학리길,장군면 산학리,- ~ 송악교,점유율,2.7514
2021-08-06,새내로,서울외과 앞,마음그린한의원 ~ 새내4길시점,점유율,4.193
2021-08-06,새내로,조치원여중 앞,조치원여자중학교 ~ 조치원읍사무소,점유율,5.538
2021-08-06,시목부강로,시목교교차로 앞,- ~ 시목교(북측),점유율,4.5046
2021-08-06,시청대로,세종 시청(공주),시청입구 ~ 교육청후문,점유율,2.7261
2021-08-06,연청로,문곡리 세종방면,문곡교차로 ~ 부강터널,점유율,3.542
2021-08-06,용연로,연서면 와촌리,세종-공주경계 ~ 와룡로입구,점유율,2.3123
2021-08-06,일반국도1호선,산동교차로 대전방면,세종로교차로1 ~ 두만2리교차로2,점유율,4.8616
2021-08-06,일반국도36호선,다름고개(세종),다정동 ~ 올망초등학교,점유율,6.3147
2021-08-06,정안세종로,은하수공원(세종),수산IC교 북서 ~ 모개고가차도,점유율,2.0042
2021-08-06,조치원로,공영버스터미널 앞,조치원로1 ~ 상리사거리,점유율,5.9264
2021-08-06,지방도604호선,연동면 송용리 세종방면,예양교차로남측 ~ 문주1교북측,점유율,3.6342
2021-08-06,지방도96호선,갈매로(대전),장남교차로 ~ 금남교앞,점유율,3.0144
2021-08-06,지방도96호선,부강교차로 세종방면,부강교차로2 ~ 부강교차로1,점유율,1.8992
2021-08-06,지방도96호선,세종이마트(공주),e마트남측교차로 ~ -,점유율,2.8636
2021-08-06,지방도96호선,장군면 금암리,송암교 ~ -,점유율,1.7629
2021-08-06,청연로,우리한식뷔페 앞,연동중학교입구 ~ 응암삼거리,점유율,6.4199
2021-08-06,충현로,153자동차정비소 앞,조치원교 ~ 조치원지하차도앞,점유율,5.9377
2021-08-06,평기길,장군면 평기리,송학사거리 ~ 송문리,점유율,2.3939
2021-08-06,한누리대로,국세청맞은편,한누리대로지하4남측 ~ 한누리대로지하5북측,점유율,4.8349
2021-08-06,한누리대로,라온프라이빗시티앞,한누리대로고가2남측 ~ 노드_146,점유율,4.2887
2021-08-06,한누리대로,반곡동(공주),4-1생활권(한누리대로) ~ 반곡동(한누리대로),점유율,2.1436
2021-08-06,한누리대로,세종 교육청(공주),교육청앞 ~ 여울초교앞,점유율,3.5358
2021-08-06,한누리대로,양지초교북측(세종),한누리대로고가2북측 ~ 양지초교사거리,점유율,4.5506
2021-08-07,갈매로,기쁨뜰공원(청사),금사교고가차도동편 ~ 갈매로교차로1,점유율,2.559
2021-08-07,갈매로,제3주차장(서측),노드_069 ~ 노드_070,점유율,2.1694
2021-08-07,당산로,연서면 봉암리,월암교남측 ~ 연서치안센터,점유율,5.6288
2021-08-07,산학리길,장군면 산학리,- ~ 송악교,점유율,3.9836
2021-08-07,새내로,서울외과 앞,마음그린한의원 ~ 새내4길시점,점유율,4.0896
2021-08-07,새내로,조치원여중 앞,조치원여자중학교 ~ 조치원읍사무소,점유율,4.5296
2021-08-07,시목부강로,시목교교차로 앞,- ~ 시목교(북측),점유율,2.2806
2021-08-07,시청대로,세종 시청(공주),시청입구 ~ 교육청후문,점유율,3.8344
2021-08-07,연청로,문곡리 세종방면,문곡교차로 ~ 부강터널,점유율,3.4634
2021-08-07,용연로,연서면 와촌리,세종-공주경계 ~ 와룡로입구,점유율,2.3646
2021-08-07,일반국도1호선,산동교차로 대전방면,세종로교차로1 ~ 두만2리교차로2,점유율,3.688
2021-08-07,일반국도36호선,다름고개(세종),다정동 ~ 올망초등학교,점유율,5.6705
2021-08-07,정안세종로,은하수공원(세종),수산IC교 북서 ~ 모개고가차도,점유율,1.158
2021-08-07,조치원로,공영버스터미널 앞,조치원로1 ~ 상리사거리,점유율,4.0569
2021-08-07,지방도604호선,연동면 송용리 세종방면,예양교차로남측 ~ 문주1교북측,점유율,2.2577
2021-08-07,지방도96호선,갈매로(대전),장남교차로 ~ 금남교앞,점유율,2.9804
2021-08-07,지방도96호선,부강교차로 세종방면,부강교차로2 ~ 부강교차로1,점유율,3.8195
2021-08-07,지방도96호선,세종이마트(공주),e마트남측교차로 ~ -,점유율,4.3364
2021-08-07,지방도96호선,장군면 금암리,송암교 ~ -,점유율,2.042
2021-08-07,청연로,우리한식뷔페 앞,연동중학교입구 ~ 응암삼거리,점유율,2.6688
2021-08-07,충현로,153자동차정비소 앞,조치원교 ~ 조치원지하차도앞,점유율,2.5838
2021-08-07,평기길,장군면 평기리,송학사거리 ~ 송문리,점유율,1.8059
2021-08-07,한누리대로,국세청맞은편,한누리대로지하4남측 ~ 한누리대로지하5북측,점유율,4.7719
