index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS,POLYGON
94593,파워큐브,큰솔7차아파트입주자대표회의,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 대둔산로 503(341-31 큰솔아파트),24시간 이용가능,거주자외 출입제한,,,"('36.3138603314004', '127.389180600759')","(990287.5788939804, 1812859.1733367245)"
94871,파워큐브,트리풀시티포레아파트,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 지족로190번길 36,24시간 이용가능,거주자외 출입제한,,,"('36.3811164792776', '127.30479084259')","(982676.1694511756, 1820345.7070479533)"
95032,파워큐브,판암참좋은아파트,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 옥천로180번길 67,24시간 이용가능,거주자외 출입제한,,,"('36.3146750225172', '127.460808043588')","(996747.9101775553, 1812949.8596561567)"
95086,파워큐브,펜타뷰 아파트,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 계족로140번길 33펜타뷰 아파트(대동 535),24시간 이용가능,거주자외 출입제한,,,"('36.3271047400586', '127.445677867119')","(995383.2662853805, 1814333.4580680768)"
95394,파워큐브,평화로운아파트입주자대표회의,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 한밭대로1003번길 25(587-1 평화로운아파트),24시간 이용가능,거주자외 출입제한,,,"('36.3596953979862', '127.408259500636')","(992008.3720545828, 1817961.2462621252)"
95646,파워큐브,하나아파트,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 태평로44번길 53,24시간 이용가능,거주자외 출입제한,,,"('36.321646958754', '127.39541830935')","(990850.1797960462, 1813725.9319903122)"
95999,파워큐브,한밭자이아파트,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 대전로 935한밭자이아파트(삼성동 479),24시간 이용가능,거주자외 출입제한,,,"('36.3418134359122', '127.423477200236')","(993380.9099661282, 1815970.7380912686)"
96168,파워큐브,한아름아파트입주자대표회의,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 진잠로42번길 30,24시간 이용가능,거주자외 출입제한,,,"('36.294577589371', '127.317780845776')","(983847.7835789707, 1810712.7391027631)"
96202,파워큐브,한우리,1,AC완속,대전광역시 ,서구 ,"대전광역시 서구 문정로 90번길 60지하1층 13,07",24시간 이용가능,거주자외 출입제한,,,"('36.345797140971', '127.387998023532')","(990180.9180897818, 1816414.179221331)"
96294,파워큐브,해가든센트럴파크,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 대덕대로 366,24시간 이용가능,거주자외 출입제한,,,"('36.3655178918662', '127.380006557677')","(989460.139644739, 1818609.3698625967)"
96688,파워큐브,향촌아파트입주자대표회의,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 둔산로 15(970 향촌아파트),24시간 이용가능,거주자 외 출입제한,,,"('36.3533324759098', '127.376309972556')","(989126.7316162458, 1817252.965575074)"
97649,파워큐브,효촌마을아파트,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 계족로368번길 11,24시간 이용가능,거주자외 출입제한,,,"('36.346270585113', '127.434935283112')","(994414.3548069606, 1816466.8800619426)"
98105,SK에너지,선경주유소,1,DC차데모+DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 유성대로 1647선경주유소,06:00~24:00,,,,"('36.4007337174682', '127.392025877156')","(990544.2043910236, 1822529.3753023895)"
98156,evMost,EV충전소 SK세종셀프주유소 (ev Most),1,DC콤보,대전광역시 ,유성구 ,대전광역시 유성구 북유성대로 288 (하기동 511-1),07:00-22:00,,,,"('36.3907845559861', '127.316216925256')","(983706.728080389, 1821421.8968757305)"
98200,차지인,23번가 모텔,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 신탄진동로23번길 69주차장,24시간 이용가능,,,,"('36.4509290049367', '127.430938278127')","(994053.8508530944, 1828116.8007443554)"
98530,차지인,럭키장모텔,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 유천로 57주차장,24시간 이용가능,,,,"('36.3176247547191', '127.397474798201')","(991035.6617668341, 1813278.2053950315)"
98554,차지인,룩호텔,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 한밭대로 1316-16주차장,24시간 이용가능,,,,"('36.3522126284554', '127.440110162658')","(994881.0954150205, 1817128.3111608168)"
98732,차지인,베네치아,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 유등천동로 326-8주차장,24시간 이용가능,,,,"('36.3108363431347', '127.387734536847')","(990157.1532978714, 1812522.5618772812)"
