운영기관,충전소,충전소별 충전기연번,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,비고
대구환경공단,농수산물도매시장,02,AC완속,대구광역시 ,북구 ,대구광역시 북구 매천로18길 34(북구 매천동 527-3),24시간,,
대구환경공단,농수산물도매시장,03,AC완속,대구광역시 ,북구 ,대구광역시 북구 매천로18길 34(북구 매천동 527-3),24시간,,
대구환경공단,농수산물도매시장,04,AC완속,대구광역시 ,북구 ,대구광역시 북구 매천로18길 34(북구 매천동 527-3),24시간,,
대구환경공단,다사읍 사무소,01,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 매곡로 7 (입구 좌측)(다사읍 매곡리 885-1 (입구 좌측)),24시간 이용가능,, 
대구환경공단,다사읍행정복지센터(완속)-서재출장소,01,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 서재본길 25다사읍행정복지센터(서재)(다사읍사무소 서재출장소),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,
대구환경공단,다사체육공원 주차장,01,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 이천리30-1 (입구 진입후 주차장 11시방향 끝부분),24시간 이용가능,,
대구환경공단,달서구청,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 학산로 45(달서구 월성동 281),24시간,,
대구환경공단,달성군 농업기술센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 옥포면 비슬로 2040 (입구 우측)(옥포면 교항리 2521-7 (입구 우측)),24시간 이용가능,, 
대구환경공단,달성군청,01,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 달성군청로 33(논공읍 금포리 1313),24시간,,
대구환경공단,달성군청,02,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 달성군청로 33(논공읍 금포리 1313),24시간,,
대구환경공단,달성문화센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 대실역북로2길 188주차장 입구 좌측,24시간 이용가능,,
대구환경공단,대구 부광교회,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 칠곡중앙대로52길38(입구좌측)(북구 태전동 608-12(입구좌측)),24시간 이용가능,,
대구환경공단,대구과학관,01,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 유가면 테크노대로6길20(유가면 상리 588),24시간,,
대구환경공단,대구과학관,02,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 유가면 테크노대로6길20(유가면 상리 588),24시간,,
대구환경공단,대구과학관,03,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 유가면 테크노대로6길20(유가면 상리 588),24시간,,
대구환경공단,대구과학관,04,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 유가면 테크노대로6길20(유가면 상리 588),24시간,,
대구환경공단,대구도시철도공사,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 월배로 250(달서구 상인1동 1500),24시간,,
