운영기관,충전소,충전소별 충전기연번,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,비고,GCS,POLYGON
대구환경공단,시청별관,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 연암로 60(북구 산격동 994-1),24시간,,,"('35.89116600000005', '128.59681959999946')","(1099208.792578575, 1765807.484213051)"
대구환경공단,신매공영주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 신매동170-1 (입구 우회전 후 끝부분),10:00~21:00,,"충전 1시간 무료, 주차요금 60%감면","('35.83668910000026', '128.7124236999993')","(1109635.5334231632, 1759743.4564445217)"
대구환경공단,신암공원,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 신암북로11길 6신암공원(676-1 금오아파트),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.887720500000285', '128.62209129999962')","(1101488.136188397, 1765423.952703822)"
대구환경공단,아양아트센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 효동로2길 24아양아트센터(1084 아양아트센터),24시간 이용가능,공연장 공연 이용자로 제한,,"('35.879401399999836', '128.64805060000006')","(1103829.4968634236, 1764497.9225256715)"
대구환경공단,아이빌,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 3공단로240(두산머신툴 우측 골목진입 아이빌 우측 뒤편 지상주차장),24시간 이용가능,,,"('35.90207799999972', '128.5764337')","(1097370.1164747134, 1767022.1398011707)"
대구환경공단,아주운수,1,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 공항로 255주 출입구 우측,24시간 이용가능,,,"('35.8962492', '128.6410015')","(1103193.7137130988, 1766373.314242895)"
대구환경공단,어린이회관,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 동대구로 176(수성구 황금동 626),24시간,,,"('35.84589419999995', '128.62577970000012')","(1101820.8059720502, 1760768.1106008783)"
대구환경공단,옥포읍행정복지센터,1,AC완속,대구광역시 ,달성군 ,"대구광역시 달성군 옥포읍 비슬로 2215옥포읍행정복지센터(옥포읍사무소, 옥포119지역대)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.78958930000015', '128.45955279999964')","(1086828.216542206, 1754500.6013060336)"
대구환경공단,올브랜 주차장,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 산격동 1671입구우측,24시간,,,"('35.90565700000018', '128.61130379999992')","(1100515.1735784367, 1767420.5316954684)"
대구환경공단,외환들공영주차장,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 미술관로40(수성구 삼덕동 374),24시간,,,"('35.82688629999997', '128.67233989999986')","(1106020.2343579817, 1758652.2700625632)"
대구환경공단,용산1동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 용산로 212-7용산1동행정복지센터(934-6 용산1동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.85668049999995', '128.52698469999945')","(1092910.1370446545, 1761968.7740512576)"
대구환경공단,용산2동 행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 선원로278 (입구 정면),24시간 이용가능,,,"('35.85847919999968', '128.52272779999996')","(1092526.1922442878, 1762168.9940848064)"
대구환경공단,월광수변공원주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 도원동 928 (입구 좌측),24시간 이용가능,, ,"('35.798923799999926', '128.54766439999983')","(1094775.3120051285, 1755539.6594610347)"
대구환경공단,월성1동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 조암남로 97월성1동행정복지센터(1396-3 월성1동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.81955599999977', '128.5186963999998')","(1092162.5860828934, 1757836.3069157428)"
대구환경공단,월성2동행정복지센터,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 월성로 65월성2동행정복지센터(86-3 월성2동행정복지센터),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,"('35.83093420000004', '128.52410499999976')","(1092650.4067616723, 1759102.856971964)"
대구환경공단,유니버시아드 레포츠센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 호국로57길6 (유니버시아드 센터 주차장),24시간 이용가능,,,"('35.92825720000019', '128.5968244999994')","(1099209.2345268233, 1769936.2446008443)"
