 ID	   위도	     경도	        지오이드고	       정밀도
50306	35.88706	128.46977	  28.470		-
50307	35.81159	128.45536	  28.549		-
50308	35.73793	128.63497	  29.219		-
50309	35.70469	128.49749	  28.961		-
50310	35.80261	128.40990	  28.457		-
50311	35.93916	128.44871	  28.356		-
50312	35.73433	128.53075	  29.043		-
50313	35.87268	128.41988	  28.366		-
50314	35.77566	128.49416	  28.764		-
50315	35.77566	128.53519	  28.909		-
50316	35.69121	128.44871	  28.723		-
50317	35.80351	128.40547	  28.446		-
50318	35.65977	128.49416	  28.963		-
50319	35.69391	128.50303	  28.995		-
50320	35.62563	128.40436	  28.596		-
50321	35.75410	128.42875	  28.614		-
50322	35.91401	128.45869	  28.403		-
50323	35.66247	128.46201	  28.789		-
50324	35.63641	128.39992	  28.588		-
50325	35.64180	128.44649	  28.721		-
50326	35.77476	128.51301	  28.831		-
50327	35.67325	128.47753	  28.870		-
50328	35.76398	128.50193	  28.830		-
50329	35.79722	128.61502	  29.041		-
50330	35.81429	128.48197	  28.610		-
50331	35.86190	128.45203	  28.458		-
50332	35.80710	128.45536	  28.559		-
50333	35.80980	128.47310	  28.598		-
50334	35.74961	128.56069	  29.053		-
50335	35.75679	128.44871	  28.688		-
50336	35.78285	128.56956	  29.008		-
50337	35.71637	128.61945	  29.225		-
50338	35.76218	128.42321	  28.579		-
50339	35.78554	128.62943	  29.106		-
50340	35.90682	128.46534	  28.434		-
50341	35.77117	128.45869	  28.674		-
50342	35.81159	128.60060	  28.985		-
50343	35.79992	128.45203	  28.566		-
50344	35.80351	128.43318	  28.511		-
50345	35.74062	128.49195	  28.855		-
50346	35.72086	128.64606	  29.251		-
50347	35.72176	128.61723	  29.222		-
50348	35.87987	128.41212	  28.334		-
50349	35.77925	128.67045	  29.194		-
50350	35.77835	128.46866	  28.675		-
50351	35.87987	128.45647	  28.444		-
50352	35.80531	128.50414	  28.700		-
50353	35.89963	128.40436	  28.282		-
50354	35.71547	128.61612	  29.219		-
50355	35.78105	128.65160	  29.149		-
50356	35.75769	128.69263	  29.281		-
50357	35.75051	128.41434	  28.562		-
50358	35.67055	128.43097	  28.670		-
50359	35.71637	128.50414	  28.985		-
50360	35.81159	128.61169	  28.987		-
50361	35.70020	128.35890	  28.460		-
50362	35.91311	128.42875	  28.327		-
50363	35.78554	128.48530	  28.702		-
50364	35.78464	128.40547	  28.476		-
50365	35.69481	128.38551	  28.524		-
50366	35.74961	128.46534	  28.745		-
50367	35.76488	128.55958	  29.021		-
50368	35.78374	128.60171	  29.078		-
50369	35.77207	128.68154	  29.227		-
50370	35.71906	128.43762	  28.673		-
50371	35.79812	128.40325	  28.450		-
50372	35.71277	128.61945	  29.224		-
50373	35.64091	128.40879	  28.613		-
50374	35.72445	128.61945	  29.225		-
50375	35.78734	128.65271	  29.146		-
50376	35.67055	128.45979	  28.778		-
50377	35.72625	128.49306	  28.907		-
50378	35.63462	128.42321	  28.649		-
50379	35.85831	128.45979	  28.481		-
50380	35.88885	128.50303	  28.551		-
