index,geometry,id,gid,sgg_nm_k,sgg_nm_e,sgg_cd,sido_nm_k,sido_nm_e,sido_cd,value,stats_year,raw_d_year
121505,"POLYGON ((970000 1846500, 970000 1847000, 970500 1847000, 970500 1846500, 970000 1846500))",121506,다바70a46b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,9.673,2020,202010
121506,"POLYGON ((970000 1847000, 970000 1847500, 970500 1847500, 970500 1847000, 970000 1847000))",121507,다바70a47a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,12.709,2020,202010
121507,"POLYGON ((970000 1847500, 970000 1848000, 970500 1848000, 970500 1847500, 970000 1847500))",121508,다바70a47b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,13.746,2020,202010
121508,"POLYGON ((970000 1848000, 970000 1848500, 970500 1848500, 970500 1848000, 970000 1848000))",121509,다바70a48a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,14.627,2020,202010
121509,"POLYGON ((970000 1848500, 970000 1849000, 970500 1849000, 970500 1848500, 970000 1848500))",121510,다바70a48b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,12.842,2020,202010
121510,"POLYGON ((970000 1849000, 970000 1849500, 970500 1849500, 970500 1849000, 970000 1849000))",121511,다바70a49a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,13.934,2020,202010
121511,"POLYGON ((970000 1849500, 970000 1850000, 970500 1850000, 970500 1849500, 970000 1849500))",121512,다바70a49b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,13.679,2020,202010
121512,"POLYGON ((970000 1850000, 970000 1850500, 970500 1850500, 970500 1850000, 970000 1850000))",121513,다바70a50a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,13.864,2020,202010
121513,"POLYGON ((970000 1850500, 970000 1851000, 970500 1851000, 970500 1850500, 970000 1850500))",121514,다바70a50b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.007,2020,202010
121514,"POLYGON ((970000 1851000, 970000 1851500, 970500 1851500, 970500 1851000, 970000 1851000))",121515,다바70a51a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.16,2020,202010
121515,"POLYGON ((970000 1851500, 970000 1852000, 970500 1852000, 970500 1851500, 970000 1851500))",121516,다바70a51b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.958,2020,202010
121516,"POLYGON ((970000 1852000, 970000 1852500, 970500 1852500, 970500 1852000, 970000 1852000))",121517,다바70a52a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.689,2020,202010
121517,"POLYGON ((970000 1852500, 970000 1853000, 970500 1853000, 970500 1852500, 970000 1852500))",121518,다바70a52b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.336,2020,202010
121518,"POLYGON ((970000 1853000, 970000 1853500, 970500 1853500, 970500 1853000, 970000 1853000))",121519,다바70a53a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.674,2020,202010
121519,"POLYGON ((970000 1853500, 970000 1854000, 970500 1854000, 970500 1853500, 970000 1853500))",121520,다바70a53b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.104,2020,202010
121520,"POLYGON ((970000 1854000, 970000 1854500, 970500 1854500, 970500 1854000, 970000 1854000))",121521,다바70a54a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.633,2020,202010
121521,"POLYGON ((970000 1854500, 970000 1855000, 970500 1855000, 970500 1854500, 970000 1854500))",121522,다바70a54b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.858,2020,202010
121522,"POLYGON ((970000 1855000, 970000 1855500, 970500 1855500, 970500 1855000, 970000 1855000))",121523,다바70a55a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.982,2020,202010
121523,"POLYGON ((970000 1855500, 970000 1856000, 970500 1856000, 970500 1855500, 970000 1855500))",121524,다바70a55b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.163,2020,202010
121524,"POLYGON ((970000 1856000, 970000 1856500, 970500 1856500, 970500 1856000, 970000 1856000))",121525,다바70a56a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.068,2020,202010
121525,"POLYGON ((970000 1856500, 970000 1857000, 970500 1857000, 970500 1856500, 970000 1856500))",121526,다바70a56b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,7.081,2020,202010
121526,"POLYGON ((970000 1857000, 970000 1857500, 970500 1857500, 970500 1857000, 970000 1857000))",121527,다바70a57a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,7.286,2020,202010
121527,"POLYGON ((970000 1857500, 970000 1858000, 970500 1858000, 970500 1857500, 970000 1857500))",121528,다바70a57b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.142,2020,202010
121528,"POLYGON ((970000 1858000, 970000 1858500, 970500 1858500, 970500 1858000, 970000 1858000))",121529,다바70a58a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.173,2020,202010
121529,"POLYGON ((970000 1858500, 970000 1859000, 970500 1859000, 970500 1858500, 970000 1858500))",121530,다바70a58b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.551,2020,202010
121530,"POLYGON ((970000 1859000, 970000 1859500, 970500 1859500, 970500 1859000, 970000 1859000))",121531,다바70a59a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.105,2020,202010
121681,"POLYGON ((970500 1834500, 970500 1835000, 971000 1835000, 971000 1834500, 970500 1834500))",121682,다바70b34b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.009,2020,202010
121700,"POLYGON ((970500 1844000, 970500 1844500, 971000 1844500, 971000 1844000, 970500 1844000))",121701,다바70b44a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.652,2020,202010
121701,"POLYGON ((970500 1844500, 970500 1845000, 971000 1845000, 971000 1844500, 970500 1844500))",121702,다바70b44b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.589,2020,202010
