index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS
75688,이카플러그,해피라움블루,1,AC완속,세종특별자치시 ,대평3길 ,세종특별자치시 대평3길 18B1층 26기둥(674 해피라움블루),24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.4737112999997', '127.27498880000003')"
75689,이카플러그,해피라움블루 급속충전소,1,DC차데모+DC콤보,세종특별자치시 ,대평3길 ,세종특별자치시 대평3길 18(674 해피라움블루),24시간 이용가능,,50kW,,"('36.4737112999997', '127.2744657999999')"
75992,파워큐브,(급속)세종고운뜰PARK 가락마을8단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,만남로 ,세종특별자치시 만남로 92(1706 가락마을8단지),09:00~18:00,거주자외 출입제한,50kW,,"('36.50705740000009', '127.23799990000006')"
76195,파워큐브,(주)포스코케미칼,1,AC완속,세종특별자치시 ,전의면 ,세종특별자치시 전의면 산단길 22-64(관정리 743),24시간 이용가능,방문자외 출입제한,,,"('36.69594110000018', '127.21126849999996')"
76826,파워큐브,㈜장남 새뜸마을8단지아파트관리사무소,1,AC완속,세종특별자치시 ,새롬중앙로 ,세종특별자치시 새롬중앙로 20(607 새뜸마을8단지),24시간 이용가능,거주자 외 출입제한,,,"('36.483650500000095', '127.25181550000003')"
76867,파워큐브,가락마을19단지,1,AC완속,세종특별자치시 ,밝은뜰로 ,세종특별자치시 밝은뜰로 15,24시간 이용가능,거주자외 출입제한,,,"('36.52354490000013', '127.23115609999999')"
76877,파워큐브,가락마을2단지세종힐데스하임아파트,1,AC완속,세종특별자치시 ,마음로 ,세종특별자치시 마음로 49(1731 가락마을2단지),24시간 이용가능,거주자 외 출입제한,7kW,,"('36.50300899999968', '127.2334226999997')"
76885,파워큐브,가락마을9단지,1,AC완속,세종특별자치시 ,마음로 ,세종특별자치시 마음로 151지하2층 110번 기둥 뒤,24시간 이용가능,거주자외 출입제한,7kW,,"('36.51111559999977', '127.22643509999939')"
77048,파워큐브,가온마을10단지 입주자대표회의,1,AC완속,세종특별자치시 ,가온로 ,세종특별자치시 가온로 9(가온마을 10단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.49197949999983', '127.25225349999943')"
77050,파워큐브,가온마을12단지더하이스트아파트,1,AC완속,세종특별자치시 ,다정남로 ,세종특별자치시 다정남로 123(926 가온마을12단지),24시간 이용가능,거주자 외 출입제한,,,"('36.49401409999983', '127.25394369999998')"
77053,파워큐브,가온마을12단지입주자대표회의-1,1,AC완속,세종특별자치시 ,다정남로 ,세종특별자치시 다정남로 123,24시간 이용가능,거주자외 출입제한,,,"('36.49401409999983', '127.25185159999988')"
77061,파워큐브,가온마을1단지아파트 입주자대표회의,1,AC완속,세종특별자치시 ,다정남로 ,세종특별자치시 다정남로 22(960 가온마을1단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.4914252000001', '127.2398008999999')"
77092,파워큐브,가온마을3단지,1,AC완속,세종특별자치시 ,다정북로 ,세종특별자치시 다정북로 109,24시간 이용가능,거주자외 출입제한,,,"('36.49758990000023', '127.23838779999936')"
77117,파워큐브,가재마을7단지입주자대표회의,1,AC완속,세종특별자치시 ,달빛로 ,세종특별자치시 달빛로 77(가재마을 7단지),24시간 이용가능,거주자외 출입제한,,,"('36.50662040000022', '127.24557749999975')"
78087,파워큐브,고운동가락마을1단지,1,AC완속,세종특별자치시 ,마음로 ,세종특별자치시 마음로 67(1729 가락마을1단지),24시간 이용가능,거주자외 출입제한,,,"('36.50366259999994', '127.2316341')"
79026,파워큐브,나릿재마을2단지세종리더스포레아파트,1,AC완속,세종특별자치시 ,중앙공원서로 ,세종특별자치시 중앙공원서로 10(263 나릿재마을2단지),24시간 이용가능,거주자외 출입제한,3kW,,"('36.4882669000002', '127.26413849999963')"
81117,파워큐브,도램마을 2단지3단지 입주자대표회의(2단지),1,AC완속,세종특별자치시 ,다솜1로 ,세종특별자치시 다솜1로 164(685 도램마을2단지),24시간 이용가능,거주자외 출입제한,,,"('36.51268190000017', '127.25548489999989')"
81122,파워큐브,도램마을 2단지3단지 입주자대표회의(3단지),1,AC완속,세종특별자치시 ,다솜1로 ,세종특별자치시 다솜1로 184(683 도램마을3단지),24시간 이용가능,거주자외 출입제한,,,"('36.514027699999716', '127.25534550000003')"
81127,파워큐브,도램마을10단지 입주자대표회의,1,AC완속,세종특별자치시 ,보듬4로 ,세종특별자치시 보듬4로 20(853 도램마을10단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.5117880999996', '127.25940839999963')"
81135,파워큐브,도램마을12단지아파트,1,AC완속,세종특별자치시 ,보듬4로 ,세종특별자치시 보듬4로 19,24시간 이용가능,거주자외 출입제한,,,"('36.51357979999962', '127.26081489999963')"
81163,파워큐브,도램마을4단지 입주자대표회의,1,AC완속,세종특별자치시 ,다솜1로 ,세종특별자치시 다솜1로 200(도램마을 4단지),24시간 이용가능,,,,"('36.515545200000076', '127.25525309999958')"
82219,파워큐브,두진리버빌아파트입주자대표회의,1,AC완속,세종특별자치시 ,금남면 ,세종특별자치시 금남면 용포2길 70(320 금남두진리버빌아파트),24시간 이용가능,거주자외 출입제한,,,"('36.4628486000002', '127.27791439999945')"
84174,파워큐브,범지기마을11단지아파트 입주자대표회의,1,AC완속,세종특별자치시 ,보듬3로 ,세종특별자치시 보듬3로 73(범지기마을 11단지),24시간 이용가능,거주자외 출입제한,,,"('36.51050460000026', '127.24914059999934')"
84179,파워큐브,범지기마을4단지아파트,1,AC완속,세종특별자치시 ,달빛로 ,세종특별자치시 달빛로 109(범지기마을 4단지),24시간 이용가능,거주자외 출입제한,,,"('36.508817699999874', '127.2484957999999')"
85389,파워큐브,새뜸마을13단지아파트 입주자대표회의,1,AC완속,세종특별자치시 ,새롬로 ,세종특별자치시 새롬로 32(새뜸마을 13단지),24시간 이용가능,거주자외 출입제한,,,"('36.4879080999999', '127.25465600000004')"
85394,파워큐브,새뜸마을14단지아파트,1,AC완속,세종특별자치시 ,새롬로 ,세종특별자치시 새롬로 56,24시간 이용가능,거주자외 출입제한,,,"('36.48980019999993', '127.25407000000008')"
85402,파워큐브,새뜸마을1단지,1,AC완속,세종특별자치시 ,새롬남로 ,세종특별자치시 새롬남로 18(601 새뜸마을1단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.4812728000002', '127.24622210000007')"
85427,파워큐브,새뜸마을4단지 입주자대표회의-1,1,AC완속,세종특별자치시 ,새롬북로 ,세종특별자치시 새롬북로 13,24시간 이용가능,거주자외 출입제한,,,"('36.48799049999996', '127.24585219999958')"
85431,파워큐브,새뜸마을7단지-702동,1,AC완속,세종특별자치시 ,새롬중앙로 ,세종특별자치시 새롬중앙로 89702동 지하주차장,24시간 이용가능,거주자외 출입제한,,,"('37.32122999999983', '127.12472569999932')"
85440,파워큐브,새뜸마을9단지아파트 입주자대표회의,1,AC완속,세종특별자치시 ,새롬남로 ,세종특별자치시 새롬남로 98(611 새뜸마을9단지),24시간 이용가능,거주자 외 출입제한,7kW,,"('36.48401030000008', '127.25550049999937')"
85457,파워큐브,새샘마을5단지 입주자대표회의,1,AC완속,세종특별자치시 ,남세종로 ,세종특별자치시 남세종로 301(598 새샘마을5단지),24시간 이용가능,거주자외 출입제한,,,"('36.48093169999961', '127.30474989999959')"
86305,파워큐브,세경건설㈜가재마을6단지초록지붕세경,1,AC완속,세종특별자치시 ,달빛1로 ,세종특별자치시 달빛1로 74지하1층 03기둥 뒷면,24시간 이용가능,거주자외 출입제한,7kW,,"('36.506116899999846', '127.24606289999944')"
86378,파워큐브,세종럭스스퀘어,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 세종로 2282,09:00~18:00,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.5910495999999', '127.29170359999992')"
86380,파워큐브,세종영상의학과의원,1,AC완속,세종특별자치시 ,금남면 ,세종특별자치시 금남면 용포로 116,24시간 이용가능,,,,"('36.468882899999606', '127.2806576999995')"
86382,파워큐브,세종특별자치시 교육청,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 2154,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.478038800000206', '127.28385519999941')"
86388,파워큐브,세종파이낸스센터1차,1,AC완속,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 363(669 세종파이낸스센터),24시간 이용가능,거주자 외 출입제한,7kW,,"('36.496335800000146', '127.2623026999996')"
86395,파워큐브,세종파이낸스센터2차,1,AC완속,세종특별자치시 ,가름로 ,세종특별자치시 가름로 194(어진동 667),24시간 이용가능,거주자 외 출입제한,7kW,,"('36.49682720000019', '127.26045409999942')"
86405,파워큐브,세종파이낸스센터3차,1,AC완속,세종특별자치시 ,가름로 ,세종특별자치시 가름로 180(666 세종파이낸스센터3),24시간 이용가능,거주자외 출입제한,7kW,,"('36.497419399999764', '127.25881769999974')"
86957,파워큐브,수루배마을3단지아파트,1,AC완속,세종특별자치시 ,반곡로 ,세종특별자치시 반곡로 15(수루배마을 3단지),24시간 이용가능,거주자외 출입제한,3kW,,"('36.499652900000065', '127.30771039999966')"
93012,파워큐브,주식회사 삼성모터스정비공장,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 세종로 2685-21실외주차장,24시간 이용가능,,,,"('36.62731739999959', '127.28843199999973')"
93136,파워큐브,죽림 우방 유쉘,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 산막길 17죽림 우방 유쉘(죽림리 72),24시간 이용가능,거주자외 출입제한,,,"('36.593700899999725', '127.29089509999997')"
93145,파워큐브,죽림우방유쉘아파트,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 산막길 17(72 우방유쉘아파트),24시간 이용가능,거주자외 출입제한,3kW,,"('36.593506300000094', '127.29311840000015')"
93149,파워큐브,죽림푸르지오아파트입주자대표회의,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 죽림본로 33-6(389 죽림푸르지오),24시간 이용가능,거주자외 출입제한,,,"('36.59023750000008', '127.29358109999934')"
93858,파워큐브,첫마을5단지,16,AC완속,세종특별자치시 ,누리로 ,세종특별자치시 누리로 59(1045 첫마을5단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.476092799999606', '127.2471638999998')"
93879,파워큐브,첫마을6단지-601동,1,AC완속,세종특별자치시 ,누리로 ,세종특별자치시 누리로 28(한솔동),24시간 이용가능,거주자외 출입제한,7kW,,"('36.47619500000027', '127.25145049999949')"
93883,파워큐브,첫마을6단지-606동,1,AC완속,세종특별자치시 ,누리로 ,세종특별자치시 누리로 27(한솔동),24시간 이용가능,거주자외 출입제한,7kW,,"('36.474158600000045', '127.24804320000023')"
94283,파워큐브,축산물품질평가원,1,AC완속,세종특별자치시 ,아름서길 ,세종특별자치시 아름서길 21,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51342200000017', '127.24226810000003')"
