,주용도코드명,대지위치
184,편의시설,대구광역시 중구 동성로3가 7-6번지
185,편의시설,대구광역시 중구 동성로3가 7-7번지
186,편의시설,대구광역시 중구 동성로3가 8번지
187,편의시설,대구광역시 중구 동성로3가 8-6번지
188,편의시설,대구광역시 중구 동성로3가 8-8번지
189,편의시설,대구광역시 중구 동성로3가 9번지
190,주거지,대구광역시 중구 동문동 1-2번지
191,편의시설,대구광역시 중구 동문동 1-3번지
192,편의시설,대구광역시 중구 동문동 1-4번지
193,편의시설,대구광역시 중구 동문동 1-7번지
194,편의시설,대구광역시 중구 동문동 1-9번지
195,편의시설,대구광역시 중구 동문동 1-12번지
196,편의시설,대구광역시 중구 동문동 1-14번지
197,편의시설,대구광역시 중구 동문동 1-18번지
198,편의시설,대구광역시 중구 동문동 1-19번지
199,편의시설,대구광역시 중구 동문동 1-20번지
200,편의시설,대구광역시 중구 문화동 1-1번지
201,편의시설,대구광역시 중구 문화동 1-2번지
202,편의시설,대구광역시 중구 문화동 1-3번지
203,편의시설,대구광역시 중구 문화동 1-4번지
204,편의시설,대구광역시 중구 문화동 1-6번지
205,편의시설,대구광역시 중구 문화동 1-7번지
206,편의시설,대구광역시 중구 문화동 2-3번지
207,편의시설,대구광역시 중구 문화동 2-4번지
208,주거지,대구광역시 중구 문화동 2-6번지
209,창고시설,대구광역시 중구 문화동 2-9번지
210,편의시설,대구광역시 중구 공평동 1-1번지
211,편의시설,대구광역시 중구 공평동 1-3번지
212,편의시설,대구광역시 중구 공평동 1-5번지
213,편의시설,대구광역시 중구 공평동 1-6번지
214,편의시설,대구광역시 중구 공평동 8-2번지
215,편의시설,대구광역시 중구 공평동 8-4번지
216,편의시설,대구광역시 중구 공평동 8-6번지
217,주거지,대구광역시 중구 공평동 9번지
218,편의시설,대구광역시 중구 공평동 10-2번지
219,주거지,대구광역시 중구 공평동 10-3번지
220,편의시설,대구광역시 중구 동성로2가 1-1번지
221,편의시설,대구광역시 중구 동성로2가 1-2번지
222,편의시설,대구광역시 중구 동성로2가 1-3번지
223,편의시설,대구광역시 중구 동성로2가 1-4번지
224,편의시설,대구광역시 중구 동성로2가 2-3번지
225,편의시설,대구광역시 중구 동성로2가 2-4번지
226,편의시설,대구광역시 중구 동성로2가 2-5번지
227,편의시설,대구광역시 중구 동성로2가 4-2번지
228,편의시설,대구광역시 중구 동성로2가 5-1번지
229,편의시설,대구광역시 중구 동성로2가 5-2번지
230,생산시설,대구광역시 중구 태평로1가 1번지
231,편의시설,대구광역시 중구 태평로1가 1-3번지
232,주거지,대구광역시 중구 태평로1가 1-25번지
233,주거지,대구광역시 중구 태평로1가 1-68번지
234,편의시설,대구광역시 중구 태평로1가 1-90번지
235,편의시설,대구광역시 중구 태평로1가 1-96번지
236,판매시설,대구광역시 중구 태평로1가 1-99번지
238,편의시설,대구광역시 중구 태평로1가 1-152번지
240,편의시설,대구광역시 중구 교동 3-9번지
241,편의시설,대구광역시 중구 교동 7-10번지
242,생산시설,대구광역시 중구 교동 8번지
243,편의시설,대구광역시 중구 교동 11-17번지
244,주거지,대구광역시 중구 교동 13-4번지
245,주거지,대구광역시 중구 교동 15-1번지
246,편의시설,대구광역시 중구 교동 15-3번지
247,주거지,대구광역시 중구 교동 16-1번지
248,주거지,대구광역시 중구 교동 17-3번지
249,편의시설,대구광역시 중구 교동 18-4번지
250,주거지,대구광역시 중구 용덕동 1-1번지
251,편의시설,대구광역시 중구 용덕동 1-4번지
252,편의시설,대구광역시 중구 용덕동 1-5번지
253,편의시설,대구광역시 중구 용덕동 1-7번지
254,편의시설,대구광역시 중구 용덕동 1-8번지
255,편의시설,대구광역시 중구 용덕동 1-9번지
256,편의시설,대구광역시 중구 용덕동 1-10번지
257,편의시설,대구광역시 중구 용덕동 1-11번지
258,주거지,대구광역시 중구 용덕동 1-12번지
259,편의시설,대구광역시 중구 용덕동 1-13번지
260,편의시설,대구광역시 중구 상덕동 1-2번지
261,편의시설,대구광역시 중구 상덕동 2-3번지
262,편의시설,대구광역시 중구 상덕동 3-1번지
263,편의시설,대구광역시 중구 상덕동 3-3번지
264,편의시설,대구광역시 중구 상덕동 3-4번지
265,편의시설,대구광역시 중구 상덕동 4-1번지
266,편의시설,대구광역시 중구 상덕동 4-2번지
267,편의시설,대구광역시 중구 상덕동 4-3번지
268,편의시설,대구광역시 중구 상덕동 4-5번지
269,편의시설,대구광역시 중구 상덕동 4-8번지
270,주거지,대구광역시 중구 완전동 1-1번지
271,주거지,대구광역시 중구 완전동 1-2번지
272,편의시설,대구광역시 중구 완전동 1-3번지
273,주거지,대구광역시 중구 완전동 1-6번지
274,주거지,대구광역시 중구 완전동 1-10번지
275,주거지,대구광역시 중구 완전동 1-11번지
276,편의시설,대구광역시 중구 완전동 1-15번지
277,주거지,대구광역시 중구 완전동 1-16번지
278,주거지,대구광역시 중구 완전동 1-18번지
279,주거지,대구광역시 중구 완전동 1-20번지
280,주거지,대구광역시 중구 도원동 2-52번지
281,주거지,대구광역시 중구 도원동 3번지
290,편의시설,대구광역시 중구 수창동 20-3번지
291,편의시설,대구광역시 중구 수창동 20-4번지
292,창고시설,대구광역시 중구 수창동 21-2번지
293,편의시설,대구광역시 중구 수창동 21-4번지
294,창고시설,대구광역시 중구 수창동 21-6번지
295,창고시설,대구광역시 중구 수창동 21-7번지
296,창고시설,대구광역시 중구 수창동 21-9번지
297,창고시설,대구광역시 중구 수창동 21-11번지
298,창고시설,대구광역시 중구 수창동 21-12번지
299,편의시설,대구광역시 중구 수창동 24-1번지
300,주거지,대구광역시 중구 태평로3가 165-1번지
301,주거지,대구광역시 중구 태평로3가 165-4번지
302,주거지,대구광역시 중구 태평로3가 170번지
303,편의시설,대구광역시 중구 태평로3가 170-6번지
304,창고시설,대구광역시 중구 태평로3가 170-8번지
305,주거지,대구광역시 중구 태평로3가 171번지
306,편의시설,대구광역시 중구 태평로3가 174-1번지
307,편의시설,대구광역시 중구 태평로3가 181번지
308,편의시설,대구광역시 중구 태평로3가 181-1번지
309,주거지,대구광역시 중구 태평로3가 182-1번지
310,주거지,대구광역시 중구 인교동 26-1번지
311,주거지,대구광역시 중구 인교동 27번지
312,주거지,대구광역시 중구 인교동 28번지
313,편의시설,대구광역시 중구 인교동 35번지
314,주거지,대구광역시 중구 인교동 36-1번지
315,교육연구시설,대구광역시 중구 인교동 43-1번지
316,주거지,대구광역시 중구 인교동 44-1번지
317,교육연구시설,대구광역시 중구 인교동 44-3번지
318,편의시설,대구광역시 중구 인교동 44-4번지
319,창고시설,대구광역시 중구 인교동 44-5번지
320,편의시설,대구광역시 중구 서야동 1-1번지
321,편의시설,대구광역시 중구 서야동 5-1번지
322,편의시설,대구광역시 중구 서야동 8번지
323,편의시설,대구광역시 중구 서야동 9번지
325,주거지,대구광역시 중구 서야동 10번지
327,주거지,대구광역시 중구 서야동 10-5번지
328,주거지,대구광역시 중구 서야동 11-1번지
