,주용도코드명,대지위치
275,창고시설,강원도 춘천시 신동 5-1번지
279,주거지,강원도 춘천시 신동 5-4번지
280,주거지,강원도 춘천시 중도동 39번지
281,편의시설,강원도 춘천시 중도동 124-1번지
282,주거지,강원도 춘천시 중도동 174-3번지
283,편의시설,강원도 춘천시 중도동 271-8번지
284,주거지,강원도 춘천시 중도동 278번지
285,주거지,강원도 춘천시 중도동 472번지
286,주거지,강원도 춘천시 중도동 512-3번지
287,주거지,강원도 춘천시 신북읍 율문리 11-4번지
288,주거지,강원도 춘천시 신북읍 율문리 11-5번지
289,주거지,강원도 춘천시 신북읍 율문리 11-6번지
290,주거지,강원도 춘천시 신북읍 율문리 11-8번지
291,님비시설,강원도 춘천시 신북읍 율문리 12-3번지
292,주거지,강원도 춘천시 신북읍 율문리 13-3번지
293,주거지,강원도 춘천시 신북읍 율문리 14-3번지
294,주거지,강원도 춘천시 신북읍 율문리 14-4번지
295,주거지,강원도 춘천시 신북읍 율문리 17-3번지
296,주거지,강원도 춘천시 신북읍 율문리 18-3번지
297,편의시설,강원도 춘천시 신북읍 천전리
298,주거지,강원도 춘천시 신북읍 천전리 3-3번지
299,편의시설,강원도 춘천시 신북읍 천전리 4번지
300,농축산업시설,강원도 춘천시 신북읍 천전리 5-2번지
301,주거지,강원도 춘천시 신북읍 천전리 9-2번지
302,편의시설,강원도 춘천시 신북읍 천전리 10-3번지
304,주거지,강원도 춘천시 신북읍 천전리 10-6번지
305,주거지,강원도 춘천시 신북읍 천전리 11-4번지
306,편의시설,강원도 춘천시 신북읍 천전리 11-7번지
307,주거지,강원도 춘천시 신북읍 유포리
308,농축산업시설,강원도 춘천시 신북읍 유포리 1-1번지
309,농축산업시설,강원도 춘천시 신북읍 유포리 6번지
310,주거지,강원도 춘천시 신북읍 유포리 6-1번지
311,농축산업시설,강원도 춘천시 신북읍 유포리 6-3번지
313,님비시설,강원도 춘천시 신북읍 유포리 8-5번지
314,님비시설,강원도 춘천시 신북읍 유포리 23-30번지
316,님비시설,강원도 춘천시 신북읍 유포리 29-1번지
317,편의시설,강원도 춘천시 신북읍 산천리 1번지
320,편의시설,강원도 춘천시 신북읍 산천리 4-10번지
322,교육연구시설,강원도 춘천시 신북읍 산천리 5번지
327,주거지,강원도 춘천시 신북읍 발산리 1번지
328,창고시설,강원도 춘천시 신북읍 발산리 2번지
329,주거지,강원도 춘천시 신북읍 발산리 20-1번지
330,주거지,강원도 춘천시 신북읍 발산리 20-8번지
331,주거지,강원도 춘천시 신북읍 발산리 21-1번지
332,주거지,강원도 춘천시 신북읍 발산리 22-2번지
333,편의시설,강원도 춘천시 신북읍 발산리 25-3번지
334,주거지,강원도 춘천시 신북읍 발산리 25-4번지
335,주거지,강원도 춘천시 신북읍 발산리 25-7번지
336,주거지,강원도 춘천시 신북읍 발산리 30-3번지
337,주거지,강원도 춘천시 신북읍 지내리 12-1번지
338,주거지,강원도 춘천시 신북읍 지내리 12-6번지
339,주거지,강원도 춘천시 신북읍 지내리 13번지
340,농축산업시설,강원도 춘천시 신북읍 지내리 19-1번지
341,주거지,강원도 춘천시 신북읍 지내리 19-2번지
342,농축산업시설,강원도 춘천시 신북읍 지내리 19-4번지
343,주거지,강원도 춘천시 신북읍 지내리 20번지
344,주거지,강원도 춘천시 신북읍 지내리 27-1번지
346,주거지,강원도 춘천시 신북읍 지내리 27-2번지
347,주거지,강원도 춘천시 신북읍 용산리 2번지
348,주거지,강원도 춘천시 신북읍 용산리 6번지
349,주거지,강원도 춘천시 신북읍 용산리 8번지
350,농축산업시설,강원도 춘천시 신북읍 용산리 12-1번지
352,창고시설,강원도 춘천시 신북읍 용산리 12-4번지
353,주거지,강원도 춘천시 신북읍 용산리 13-1번지
356,주거지,강원도 춘천시 신북읍 용산리 15-1번지
357,편의시설,강원도 춘천시 동면 지내리 1번지
358,편의시설,강원도 춘천시 동면 지내리 2-7번지
359,님비시설,강원도 춘천시 동면 지내리 2-9번지
360,편의시설,강원도 춘천시 동면 지내리 2-10번지
361,편의시설,강원도 춘천시 동면 지내리 2-11번지
362,편의시설,강원도 춘천시 동면 지내리 2-18번지
363,편의시설,강원도 춘천시 동면 지내리 2-20번지
367,주거지,강원도 춘천시 동면 만천리 1번지
368,편의시설,강원도 춘천시 동면 만천리 1-1번지
369,주거지,강원도 춘천시 동면 만천리 1-4번지
370,주거지,강원도 춘천시 동면 만천리 1-6번지
371,편의시설,강원도 춘천시 동면 만천리 1-14번지
372,창고시설,강원도 춘천시 동면 만천리 3번지
373,편의시설,강원도 춘천시 동면 만천리 3-9번지
374,편의시설,강원도 춘천시 동면 만천리 3-11번지
375,창고시설,강원도 춘천시 동면 만천리 3-18번지
376,편의시설,강원도 춘천시 동면 만천리 3-20번지
377,주거지,강원도 춘천시 동면 장학리 3-2번지
378,편의시설,강원도 춘천시 동면 장학리 6번지
381,주거지,강원도 춘천시 동면 장학리 22번지
382,주거지,강원도 춘천시 동면 장학리 25번지
383,주거지,강원도 춘천시 동면 장학리 32번지
385,편의시설,강원도 춘천시 동면 장학리 33번지
386,편의시설,강원도 춘천시 동면 장학리 33-1번지
387,편의시설,강원도 춘천시 동면 감정리 7-1번지
388,주거지,강원도 춘천시 동면 감정리 23번지
389,주거지,강원도 춘천시 동면 감정리 30-1번지
390,주거지,강원도 춘천시 동면 감정리 30-2번지
391,주거지,강원도 춘천시 동면 감정리 30-3번지
392,주거지,강원도 춘천시 동면 감정리 30-4번지
393,주거지,강원도 춘천시 동면 감정리 45-1번지
394,주거지,강원도 춘천시 동면 감정리 86번지
395,창고시설,강원도 춘천시 동면 감정리 87-1번지
396,주거지,강원도 춘천시 동면 감정리 87-2번지
397,편의시설,강원도 춘천시 동면 월곡리 2-3번지
399,편의시설,강원도 춘천시 동면 월곡리 2-7번지
400,편의시설,강원도 춘천시 동면 월곡리 2-8번지
401,농축산업시설,강원도 춘천시 동면 월곡리 14번지
404,편의시설,강원도 춘천시 동면 월곡리 19-1번지
405,주거지,강원도 춘천시 동면 월곡리 24번지
406,농축산업시설,강원도 춘천시 동면 월곡리 27번지
407,주거지,강원도 춘천시 동면 품안리 5번지
408,편의시설,강원도 춘천시 동면 품안리 6번지
409,주거지,강원도 춘천시 동면 품안리 10번지
410,주거지,강원도 춘천시 동면 품안리 15번지
411,주거지,강원도 춘천시 동면 품안리 576-2번지
412,주거지,강원도 춘천시 동면 품걸리 1번지
413,편의시설,강원도 춘천시 동면 품걸리 1-4번지
414,농축산업시설,강원도 춘천시 동면 품걸리 4번지
416,주거지,강원도 춘천시 동면 품걸리 44번지
417,주거지,강원도 춘천시 동면 품걸리 45번지
418,농축산업시설,강원도 춘천시 동면 품걸리 46번지
419,창고시설,강원도 춘천시 동면 품걸리 48-3번지
420,주거지,강원도 춘천시 동면 품걸리 56-6번지
421,주거지,강원도 춘천시 동면 품걸리 56-8번지
422,주거지,강원도 춘천시 동면 신이리 1번지
423,주거지,강원도 춘천시 동면 신이리 3번지
424,편의시설,강원도 춘천시 동면 신이리 10번지
425,주거지,강원도 춘천시 동면 신이리 15번지
426,주거지,강원도 춘천시 동면 신이리 52-3번지
427,주거지,강원도 춘천시 동면 신이리 52-8번지
428,주거지,강원도 춘천시 동면 신이리 58-1번지
430,주거지,강원도 춘천시 동면 신이리 58-6번지
432,주거지,강원도 춘천시 동면 평촌리 93-1번지
433,주거지,강원도 춘천시 동면 평촌리 102번지
434,주거지,강원도 춘천시 동면 평촌리 165-10번지
435,주거지,강원도 춘천시 동면 평촌리 165-12번지
436,주거지,강원도 춘천시 동면 평촌리 189-2번지
437,주거지,강원도 춘천시 동면 평촌리 191번지
438,농축산업시설,강원도 춘천시 동면 평촌리 193번지
439,주거지,강원도 춘천시 동면 평촌리 200-1번지
441,주거지,강원도 춘천시 동면 평촌리 201-3번지
442,주거지,강원도 춘천시 동면 상걸리
443,편의시설,강원도 춘천시 동면 상걸리 18번지
444,주거지,강원도 춘천시 동면 상걸리 67번지
445,주거지,강원도 춘천시 동면 상걸리 98번지
446,주거지,강원도 춘천시 동면 상걸리 105-1번지
447,주거지,강원도 춘천시 동면 상걸리 108번지
448,주거지,강원도 춘천시 동면 상걸리 112번지
449,주거지,강원도 춘천시 동면 상걸리 114번지
450,님비시설,강원도 춘천시 동면 상걸리 119-8번지
451,창고시설,강원도 춘천시 동면 상걸리 133번지
452,주거지,강원도 춘천시 동산면 조양리 4번지
453,농축산업시설,강원도 춘천시 동산면 조양리 5번지
455,창고시설,강원도 춘천시 동산면 조양리 7번지
456,편의시설,강원도 춘천시 동산면 조양리 10-1번지
457,주거지,강원도 춘천시 동산면 조양리 16번지
458,편의시설,강원도 춘천시 동산면 조양리 32번지
459,주거지,강원도 춘천시 동산면 조양리 44번지
460,주거지,강원도 춘천시 동산면 조양리 50-1번지
462,주거지,강원도 춘천시 동산면 봉명리 5번지
463,주거지,강원도 춘천시 동산면 봉명리 12번지
464,주거지,강원도 춘천시 동산면 봉명리 17번지
465,주거지,강원도 춘천시 동산면 봉명리 18번지
466,농축산업시설,강원도 춘천시 동산면 봉명리 27-1번지
