,주용도코드명,대지위치
292,주거지,세종특별자치시  조치원읍 신안리 6-1번지
293,주거지,세종특별자치시  조치원읍 신안리 6-1번지
294,주거지,세종특별자치시  조치원읍 신안리 6-1번지
295,주거지,세종특별자치시  조치원읍 신안리 6-1번지
296,주거지,세종특별자치시  조치원읍 신안리 6-2번지
297,주거지,세종특별자치시  조치원읍 신안리 16-1번지
298,편의시설,세종특별자치시  조치원읍 신안리 34-2번지
299,주거지,세종특별자치시  조치원읍 신안리 34-3번지
300,주거지,세종특별자치시  조치원읍 봉산리 1-1번지
301,편의시설,세종특별자치시  조치원읍 봉산리 1-3번지
302,창고시설,세종특별자치시  조치원읍 봉산리 3번지
303,주거지,세종특별자치시  조치원읍 봉산리 3-8번지
304,창고시설,세종특별자치시  조치원읍 봉산리 3-8번지
305,주거지,세종특별자치시  조치원읍 봉산리 4번지
306,주거지,세종특별자치시  조치원읍 봉산리 4번지
307,편의시설,세종특별자치시  조치원읍 봉산리 5번지
308,주거지,세종특별자치시  조치원읍 봉산리 5-2번지
309,창고시설,세종특별자치시  조치원읍 봉산리 5-2번지
310,주거지,세종특별자치시  조치원읍 서창리 12번지
311,편의시설,세종특별자치시  조치원읍 서창리 12-3번지
312,주거지,세종특별자치시  조치원읍 서창리 12-4번지
313,편의시설,세종특별자치시  조치원읍 서창리 12-4번지
314,편의시설,세종특별자치시  조치원읍 서창리 12-7번지
315,님비시설,세종특별자치시  조치원읍 서창리 14-1번지
316,주거지,세종특별자치시  조치원읍 서창리 14-1번지
317,자동차관련시설,세종특별자치시  조치원읍 서창리 14-2번지
318,주거지,세종특별자치시  조치원읍 서창리 16번지
319,편의시설,세종특별자치시  조치원읍 서창리 16-1번지
320,주거지,세종특별자치시  연기면 연기리 1-3번지
321,주거지,세종특별자치시  연기면 연기리 1-9번지
322,주거지,세종특별자치시  연기면 연기리 1-10번지
323,주거지,세종특별자치시  연기면 연기리 1-11번지
324,주거지,세종특별자치시  연기면 연기리 1-12번지
325,주거지,세종특별자치시  연기면 연기리 1-15번지
326,주거지,세종특별자치시  연기면 연기리 1-17번지
327,주거지,세종특별자치시  연기면 연기리 1-21번지
328,주거지,세종특별자치시  연기면 연기리 1-22번지
329,주거지,세종특별자치시  연기면 연기리 1-23번지
330,자원순환관련시설,세종특별자치시  연기면 보통리 1-5번지
331,자원순환관련시설,세종특별자치시  연기면 보통리 1-5번지
332,편의시설,세종특별자치시  연기면 보통리 4-3번지
333,주거지,세종특별자치시  연기면 보통리 10-3번지
334,농축산업시설,세종특별자치시  연기면 보통리 11-1번지
335,농축산업시설,세종특별자치시  연기면 보통리 11-1번지
336,주거지,세종특별자치시  연기면 보통리 11-2번지
337,편의시설,세종특별자치시  연기면 보통리 11-4번지
338,주거지,세종특별자치시  연기면 보통리 11-4번지
339,농축산업시설,세종특별자치시  연기면 보통리 11-5번지
340,편의시설,세종특별자치시  연기면 눌왕리 17-1번지
341,편의시설,세종특별자치시  연기면 눌왕리 17-1번지
342,창고시설,세종특별자치시  연기면 눌왕리 29번지
343,창고시설,세종특별자치시  연기면 눌왕리 29번지
344,생산시설,세종특별자치시  연기면 눌왕리 29-2번지
345,생산시설,세종특별자치시  연기면 눌왕리 29-2번지
346,생산시설,세종특별자치시  연기면 눌왕리 29-2번지
347,생산시설,세종특별자치시  연기면 눌왕리 29-2번지
348,창고시설,세종특별자치시  연기면 눌왕리 32-1번지
349,창고시설,세종특별자치시  연기면 눌왕리 32-1번지
350,생산시설,세종특별자치시  연기면 수산리 35번지
351,생산시설,세종특별자치시  연기면 수산리 35번지
352,창고시설,세종특별자치시  연기면 수산리 35번지
353,농축산업시설,세종특별자치시  연기면 수산리 39-1번지
354,농축산업시설,세종특별자치시  연기면 수산리 39-1번지
355,농축산업시설,세종특별자치시  연기면 수산리 39-1번지
356,농축산업시설,세종특별자치시  연기면 수산리 40번지
357,주거지,세종특별자치시  연기면 수산리 51-1번지
358,농축산업시설,세종특별자치시  연기면 수산리 53-1번지
359,농축산업시설,세종특별자치시  연기면 수산리 53-1번지
360,교육연구시설,세종특별자치시  연동면 내판리 1-1번지
361,교육연구시설,세종특별자치시  연동면 내판리 1-1번지
362,교육연구시설,세종특별자치시  연동면 내판리 1-1번지
363,교육연구시설,세종특별자치시  연동면 내판리 1-1번지
364,주거지,세종특별자치시  연동면 내판리 3번지
365,주거지,세종특별자치시  연동면 내판리 3번지
366,주거지,세종특별자치시  연동면 내판리 3-1번지
367,주거지,세종특별자치시  연동면 내판리 3-1번지
368,주거지,세종특별자치시  연동면 내판리 3-1번지
369,주거지,세종특별자치시  연동면 내판리 3-1번지
